Date,SP500_Return,Treasury_5Y_Return,Treasury_10Y_Return,CPI_Monthly,CPI_Annual
1965-02-28,,0.001342,0.000967,,
1965-03-31,,0.004300,0.005200,,
1965-04-30,,0.002617,0.002658,,
1965-05-31,,0.003883,0.001825,,
1965-06-30,,0.003875,0.006050,,
1965-07-31,,0.001783,0.001817,,
1965-08-31,,0.001817,-0.000692,,
1965-09-30,,-0.001067,-0.003175,,
1965-10-31,,0.000692,-0.001425,,
1965-11-30,,0.000750,-0.002217,,
1965-12-31,,-0.013358,-0.010575,,
1966-01-31,,-0.000100,0.000508,,
1966-02-28,,0.002067,-0.023867,,
1966-03-31,,0.012108,0.030275,,
1966-04-30,,0.003617,-0.002808,,
1966-05-31,,-0.002208,0.003150,,
1966-06-30,,0.000417,-0.010308,,
1966-07-31,,-0.002842,-0.002592,,
1966-08-31,,-0.013117,-0.021883,,
1966-09-30,,0.018900,0.033083,,
1966-10-31,,0.009450,0.008392,,
1966-11-30,,0.001850,-0.008483,,
1966-12-31,,0.024400,0.044667,,
1967-01-31,,0.009417,0.013967,,
1967-02-28,,-0.000692,-0.013067,,
1967-03-31,,0.018983,0.022450,,
1967-04-30,,-0.008817,-0.019817,,
1967-05-31,,0.003933,0.001458,,
1967-06-30,,-0.022317,-0.030500,,
1967-07-31,,0.014042,0.009400,,
1967-08-31,,-0.004900,-0.004958,,
1967-09-30,,0.002783,0.001025,,
1967-10-31,,-0.009683,-0.023350,,
1967-11-30,,0.002683,-0.003717,,
1967-12-31,,0.004392,0.008150,,
1968-01-31,,0.014400,0.018217,,
1968-02-29,,0.003792,0.002933,,
1968-03-31,,-0.003275,-0.012200,,
1968-04-30,,-0.003533,0.006483,,
1968-05-31,,0.004550,-0.005317,,
1968-06-30,,0.012475,0.023400,,
1968-07-31,,0.016908,0.025742,,
1968-08-31,,0.005417,0.001967,,
1968-09-30,,0.004567,-0.001375,,
1968-10-31,,0.000817,-0.005525,,
1968-11-30,,-0.001608,-0.009633,,
1968-12-31,,-0.020650,-0.027167,,
1969-01-31,,0.006525,0.002608,,
1969-02-28,,-0.000583,-0.000733,,
1969-03-31,,0.008700,0.001850,,
1969-04-30,,0.004883,0.013667,,
1969-05-31,,-0.008025,-0.025133,,
1969-06-30,,-0.006508,-0.008842,,
1969-07-31,,0.005817,0.011500,,
1969-08-31,,-0.000433,-0.008758,,
1969-09-30,,-0.031142,-0.051542,,
1969-10-31,,0.035433,0.054233,,
1969-11-30,,-0.005558,-0.023675,,
1969-12-31,,-0.019075,-0.043583,,
1970-01-31,,0.004767,0.017508,,
1970-02-28,,0.046892,0.078000,,
1970-03-31,,0.009008,-0.009400,,
1970-04-30,,-0.023550,-0.056383,,
1970-05-31,,0.011625,-0.004425,,
1970-06-30,,0.009025,0.029350,,
1970-07-31,,0.014392,0.031650,,
1970-08-31,,0.011733,-0.003108,,
1970-09-30,,0.017458,0.023075,,
1970-10-31,,0.011817,0.002708,,
1970-11-30,,0.049617,0.076808,,
1970-12-31,,0.005408,0.004567,,
1971-01-31,,0.013317,0.039925,,
1971-02-28,,0.022317,0.000867,,
1971-03-31,,0.016967,0.056458,,
1971-04-30,,-0.038283,-0.041683,,
1971-05-31,,-0.001600,-0.020183,,
1971-06-30,,-0.020633,-0.021617,,
1971-07-31,,0.001550,-0.007042,,
1971-08-31,,0.042883,0.053683,,
1971-09-30,,0.005475,0.028800,,
1971-10-31,,0.016717,0.015942,,
1971-11-30,,0.002317,-0.000158,,
1971-12-31,,0.019033,0.008308,,
1972-01-31,,-0.005833,-0.011925,,
1972-02-29,,0.007708,0.009283,,
1972-03-31,,-0.012767,-0.001700,,
1972-04-30,,0.013833,0.003417,,
1972-05-31,,0.009075,0.012692,,
1972-06-30,,-0.003925,-0.003375,,
1972-07-31,,0.005833,0.007650,,
1972-08-31,,-0.004600,-0.020150,,
1972-09-30,,0.006425,-0.004750,,
1972-10-31,,0.004317,0.016392,,
1972-11-30,,0.008500,0.016283,,
1972-12-31,,-0.000733,-0.005708,,
1973-01-31,,-0.002700,-0.005600,,
1973-02-28,,-0.006292,-0.002967,,
1973-03-31,,0.002275,-0.002042,,
1973-04-30,,0.009008,0.008133,,
1973-05-31,,0.003525,-0.013775,,
1973-06-30,,0.000650,0.004933,,
1973-07-31,,-0.034667,-0.035458,,
1973-08-31,,0.031142,0.021342,,
1973-09-30,,0.029400,0.035500,,
1973-10-31,,0.002267,0.021742,,
1973-11-30,,0.006917,0.007275,,
1973-12-31,,0.003142,-0.012100,,
1974-01-31,,0.002358,-0.002667,,
1974-02-28,,0.002842,0.004992,,
1974-03-31,,-0.022100,-0.027825,,
1974-04-30,,-0.016958,-0.014867,,
1974-05-31,,0.013092,0.018167,,
1974-06-30,,-0.004533,-0.003833,,
1974-07-31,,0.001525,-0.014675,,
1974-08-31,,-0.000033,-0.011942,,
1974-09-30,,0.031358,0.021067,,
1974-10-31,,0.011292,0.019242,,
1974-11-30,,0.022450,0.019117,,
1974-12-31,,0.014633,0.026567,,
1975-01-31,,0.006967,-0.004775,,
1975-02-28,,0.014867,0.012167,,
1975-03-31,,-0.009475,-0.040075,,
1975-04-30,,-0.019583,-0.018575,,
1975-05-31,,0.028017,0.029650,,
1975-06-30,,-0.002408,0.013433,,
1975-07-31,,-0.003900,-0.013567,,
1975-08-31,,0.002975,0.005150,,
1975-09-30,,-0.004033,-0.015033,,
1975-10-31,,0.038683,0.055042,,
1975-11-30,,-0.003617,-0.012767,,
1975-12-31,,0.023250,0.038767,,
1976-01-31,,0.009167,0.003100,,
