Date,SP500_Return
1988-02-01,0.046646
1988-03-01,-0.030911
1988-04-01,0.011066
1988-05-01,0.008635
1988-06-01,0.045885
1988-07-01,-0.003770
1988-08-01,-0.033947
1988-09-01,0.042601
1988-10-01,0.027836
1988-11-01,-0.014237
1988-12-01,0.017445
1989-01-01,0.073199
1989-02-01,-0.024902
1989-03-01,0.023316
1989-04-01,0.051922
1989-05-01,0.040455
1989-06-01,-0.005656
1989-07-01,0.090297
1989-08-01,0.019530
1989-09-01,-0.004046
1989-10-01,-0.023215
1989-11-01,0.020380
1989-12-01,0.024021
1990-01-01,-0.067131
1990-02-01,0.012884
1990-03-01,0.026499
1990-04-01,-0.024946
1990-05-01,0.097486
1990-06-01,-0.006755
1990-07-01,-0.003196
1990-08-01,-0.090385
1990-09-01,-0.048668
1990-10-01,-0.004268
1990-11-01,0.064652
1990-12-01,0.027847
1991-01-01,0.043549
1991-02-01,0.071525
1991-03-01,0.024205
1991-04-01,0.002375
1991-05-01,0.043149
1991-06-01,-0.045816
1991-07-01,0.046611
1991-08-01,0.023678
1991-09-01,-0.016731
1991-10-01,0.013445
1991-11-01,-0.040292
1991-12-01,0.114356
1992-01-01,-0.018619
1992-02-01,0.012938
1992-03-01,-0.019443
1992-04-01,0.029368
1992-05-01,0.004883
1992-06-01,-0.014868
1992-07-01,0.040847
1992-08-01,-0.020469
1992-09-01,0.011756
1992-10-01,0.003459
1992-11-01,0.034048
1992-12-01,0.012276
1993-01-01,0.008350
1993-02-01,0.013641
1993-03-01,0.021096
1993-04-01,-0.024168
1993-05-01,0.026745
1993-06-01,0.002927
1993-07-01,-0.004027
1993-08-01,0.037948
1993-09-01,-0.007666
1993-10-01,0.020690
1993-11-01,-0.009545
1993-12-01,0.012095
1994-01-01,0.034002
1994-02-01,-0.027148
1994-03-01,-0.043599
1994-04-01,0.012823
1994-05-01,0.016418
1994-06-01,-0.024505
1994-07-01,0.032826
1994-08-01,0.041007
1994-09-01,-0.024448
1994-10-01,0.022456
1994-11-01,-0.036417
1994-12-01,0.014843
1995-01-01,0.025933
1995-02-01,0.038958
1995-03-01,0.029512
1995-04-01,0.029442
1995-05-01,0.039978
1995-06-01,0.023227
1995-07-01,0.033161
