Date,SP500_Return
1965-01-01,0.001873
1965-02-01,0.003508
1965-03-01,0.004318
1965-04-01,0.002690
1965-05-01,0.003508
1965-06-01,0.004318
1965-07-01,-0.000540
1965-08-01,0.000315
1965-09-01,-0.001251
1965-01-01,-0.004381
1965-11-01,-0.009796
1965-12-01,0.004645
1966-01-01,-0.013466
1966-02-01,0.000884
1966-03-01,0.013534
1966-04-01,0.001593
1966-05-01,0.001621
1966-06-01,-0.012370
1966-07-01,-0.011273
1966-08-01,0.007447
1966-09-01,0.017581
1966-01-01,-0.007449
1966-11-01,0.029464
1966-12-01,0.024725
1967-01-01,-0.000153
1967-02-01,0.011034
1967-03-01,-0.000194
1967-04-01,-0.016611
1967-05-01,-0.009217
1967-06-01,-0.006666
1967-07-01,-0.004949
1967-08-01,0.002860
1967-09-01,-0.009331
1967-01-01,-0.015804
1967-11-01,0.008573
1967-12-01,0.017704
1968-01-01,0.002325
1968-02-01,-0.008953
1968-03-01,0.012366
1968-04-01,-0.012559
1968-05-01,0.016224
1968-06-01,0.021554
1968-07-01,0.010710
1968-08-01,0.001459
1968-09-01,-0.004573
1968-01-01,-0.004424
1968-11-01,-0.019836
1968-12-01,0.004280
1969-01-01,-0.006062
1969-02-01,-0.002939
1969-03-01,0.014875
1969-04-01,-0.005890
1969-05-01,-0.012915
1969-06-01,-0.005362
1969-07-01,0.007770
1969-08-01,-0.027728
1969-09-01,0.010229
1969-01-01,0.003080
1969-11-01,-0.029421
1969-12-01,-0.003276
1970-01-01,0.045326
1970-02-01,0.018127
1970-03-01,-0.016555
1970-04-01,-0.029501
1970-05-01,0.011407
1970-06-01,0.033107
1970-07-01,0.001336
1970-08-01,0.016095
1970-09-01,0.010378
1970-01-01,0.041321
1970-11-01,0.038691
1970-12-01,0.016396
1971-01-01,0.014851
1971-02-01,0.036095
1971-03-01,-0.005023
1971-04-01,-0.036197
1971-05-01,-0.004151
1971-06-01,-0.009732
1971-07-01,0.016513
1971-08-01,0.038103
1971-09-01,0.020833
1971-01-01,0.013971
1971-11-01,-0.004139
1971-12-01,0.003446
1972-01-01,-0.004705
1972-02-01,0.005810
1972-03-01,-0.003818
1972-04-01,0.009609
1972-05-01,0.006593
1972-06-01,0.005092
1972-07-01,-0.002299
1972-08-01,-0.019574
1972-09-01,0.010570
1972-01-01,0.020135
1972-11-01,-0.000640
1972-12-01,-0.002008
1973-01-01,-0.007667
1973-02-01,0.000474
1973-03-01,0.008488
1973-04-01,-0.007371
1973-05-01,0.002125
1973-06-01,-0.010569
1973-07-01,-0.012989
1973-08-01,0.028200
1973-09-01,0.027515
1973-01-01,0.009991
1973-11-01,0.004887
1973-12-01,-0.012231
1974-01-01,0.007969
1974-02-01,-0.011875
1974-03-01,-0.014925
1974-04-01,0.001389
1974-05-01,0.009104
1974-06-01,-0.012313
1974-07-01,-0.009176
1974-08-01,0.006700
1974-09-01,0.016305
1974-01-01,0.021821
1974-11-01,0.023906
1974-12-01,0.001305
1975-01-01,0.013966
1975-02-01,-0.017340
1975-03-01,-0.027376
1975-04-01,0.018441
1975-05-01,0.020462
1975-06-01,-0.007076
1975-07-01,-0.016112
1975-08-01,0.004988
1975-09-01,0.026715
1975-01-01,0.012918
1975-11-01,0.010124
1975-12-01,0.024628
1976-01-01,0.003003
1976-02-01,0.010638
1976-03-01,0.018278
1976-04-01,-0.017026
1976-05-01,0.009332
1976-06-01,0.008614
1976-07-01,0.010665
1976-08-01,0.018991
1976-09-01,0.018940
1976-01-01,0.014629
1976-11-01,0.036217
1976-12-01,-0.018313
1977-01-01,-0.006618
1977-02-01,0.001263
1977-03-01,0.012535
1977-04-01,-0.000152
1977-05-01,0.018904
1977-06-01,0.002550
1977-07-01,0.001200
1977-08-01,0.010385
1977-09-01,-0.006438
1977-01-01,0.002093
1977-11-01,-0.001299
1977-12-01,-0.012067
1978-01-01,0.001858
1978-02-01,0.006010
1978-03-01,-0.000765
1978-04-01,-0.006666
1978-05-01,-0.000408
1978-06-01,-0.004912
1978-07-01,0.022636
1978-08-01,0.006337
1978-09-01,-0.007604
1978-01-01,-0.004016
1978-11-01,-0.005742
1978-12-01,0.001643
1979-01-01,0.007583
1979-02-01,0.006281
1979-03-01,0.003703
1979-04-01,0.003117
1979-05-01,0.030045
1979-06-01,0.004802
1979-07-01,0.002229
1979-08-01,-0.011836
1979-09-01,-0.052341
1979-01-01,-0.012797
1979-11-01,0.024929
1979-12-01,-0.016234
1980-01-01,-0.082598
1980-02-01,-0.008744
1980-03-01,0.086245
1980-04-01,0.089905
1980-05-01,0.033815
1980-06-01,-0.021039
1980-07-01,-0.042435
1980-08-01,-0.014933
1980-09-01,-0.004428
1980-01-01,-0.042556
1980-11-01,0.001617
1980-12-01,0.025964
1981-01-01,-0.023731
1981-02-01,0.014864
1981-03-01,-0.019379
1981-04-01,-0.010969
1981-05-01,0.046130
1981-06-01,-0.031618
1981-07-01,-0.022144
1981-08-01,-0.006873
1981-09-01,0.021466
1981-01-01,0.108971
1981-11-01,-0.006677
1981-12-01,-0.034042
1982-01-01,0.020573
1982-02-01,0.042664
1982-03-01,0.011013
1982-04-01,0.025122
1982-05-01,-0.024589
1982-06-01,0.030665
1982-07-01,0.060978
1982-08-01,0.051961
1982-09-01,0.096711
1982-01-01,0.031174
1982-11-01,0.009405
1982-12-01,0.013709
1983-01-01,-0.007120
1983-02-01,0.021836
1983-03-01,0.015547
1983-04-01,0.009902
1983-05-01,-0.019826
1983-06-01,-0.022384
1983-07-01,-0.017861
1983-08-01,0.021605
1983-09-01,0.016189
1983-01-01,0.000833
1983-11-01,0.001590
1983-12-01,0.019235
1984-01-01,-0.000170
1984-02-01,-0.017540
1984-03-01,-0.007217
1984-04-01,-0.032140
1984-05-01,0.003018
1984-06-01,0.022261
1984-07-01,0.047101
1984-08-01,0.021929
1984-09-01,0.031120
1984-01-01,0.044849
1984-11-01,0.013772
1984-12-01,0.016699
1985-01-01,0.001816
1985-02-01,-0.010763
1985-03-01,0.035328
1985-04-01,0.044666
1985-05-01,0.052053
1985-06-01,-0.000826
1985-07-01,0.007354
1985-08-01,0.006136
1985-09-01,0.016718
1985-01-01,0.037665
1985-11-01,0.041809
1985-12-01,0.012261
1986-01-01,0.040138
1986-02-01,0.070696
1986-03-01,0.040286
1986-04-01,-0.022278
1986-05-01,0.000224
1986-06-01,0.041711
1986-07-01,0.015291
1986-08-01,-0.013614
1986-09-01,0.007609
1986-01-01,0.018896
1986-11-01,0.015983
1986-12-01,0.008058
1987-01-01,-0.006098
1987-02-01,0.006042
1987-03-01,-0.046511
1987-04-01,-0.032576
1987-05-01,0.021275
1987-06-01,0.003650
1987-07-01,-0.013454
1987-08-01,-0.035134
1987-09-01,0.001448
1987-01-01,0.051385
1987-11-01,-0.001128
1987-12-01,0.028730
1988-01-01,0.038364
1988-02-01,-0.003915
1988-03-01,-0.016205
1988-04-01,-0.016856
1988-05-01,0.018738
1988-06-01,-0.001706
